Ticker,close,date,high,low,month,open,volume
SBIN,759.3,2024-04-04 05:30:00,775.3,758.1,2024-04,775.0,15889530
BAJFINANCE,7283.4,2024-04-04 05:30:00,7350.0,7255.0,2024-04,7345.0,1040589
TITAN,3782.75,2024-04-04 05:30:00,3792.3,3679.0,2024-04,3740.0,1177617
ITC,422.75,2024-04-04 05:30:00,427.35,419.9,2024-04,425.55,18358410
TCS,4003.3,2024-04-04 05:30:00,4028.65,3935.25,2024-04,3975.9,3394637
LT,3797.85,2024-04-04 05:30:00,3819.75,3731.05,2024-04,3804.9,2339529
TATACONSUM,1104.22,2024-04-04 05:30:00,1118.99,1094.94,2024-04,1118.89,2374099
RELIANCE,1462.93,2024-04-04 05:30:00,1479.75,1450.0,2024-04,1479.75,14490272
HCLTECH,1539.65,2024-04-04 05:30:00,1552.5,1518.7,2024-04,1540.8,3388449
JSWSTEEL,862.5,2024-04-04 05:30:00,878.65,853.55,2024-04,876.3,2790334
ULTRACEMCO,10005.1,2024-04-04 05:30:00,10078.9,9900.0,2024-04,10078.0,346378
POWERGRID,277.65,2024-04-04 05:30:00,286.7,275.05,2024-04,282.8,23722104
INFY,1486.7,2024-04-04 05:30:00,1495.65,1468.0,2024-04,1490.55,11186915
TRENT,4003.2,2024-04-04 05:30:00,4028.95,3915.05,2024-04,3950.0,910922
BHARTIARTL,1206.85,2024-04-04 05:30:00,1233.0,1201.3,2024-04,1231.95,7327626
TATAMOTORS,1011.6,2024-04-04 05:30:00,1017.0,998.15,2024-04,1016.0,9138276
WIPRO,487.4,2024-04-04 05:30:00,491.95,479.6,2024-04,485.8,8002023
TECHM,1279.25,2024-04-04 05:30:00,1289.0,1246.9,2024-04,1260.0,2460669
NTPC,354.65,2024-04-04 05:30:00,362.7,352.65,2024-04,355.0,28962927
HINDUNILVR,2264.95,2024-04-04 05:30:00,2282.0,2249.25,2024-04,2270.0,1890255
APOLLOHOSP,6440.6,2024-04-04 05:30:00,6475.0,6326.4,2024-04,6425.0,547885
M&M,2002.7,2024-04-04 05:30:00,2015.0,1963.2,2024-04,1999.0,3007920
GRASIM,2277.85,2024-04-04 05:30:00,2323.75,2249.5,2024-04,2309.5,814966
ICICIBANK,1078.85,2024-04-04 05:30:00,1085.8,1063.45,2024-04,1084.75,21419689
ADANIENT,3210.8,2024-04-04 05:30:00,3273.0,3201.7,2024-04,3250.0,1403826
ADANIPORTS,1366.85,2024-04-04 05:30:00,1408.6,1362.25,2024-04,1408.6,4197697
BEL,220.3,2024-04-04 05:30:00,223.9,218.25,2024-04,223.5,18279026
BAJAJFINSV,1655.8,2024-04-04 05:30:00,1662.5,1630.0,2024-04,1650.0,1328509
EICHERMOT,4014.3,2024-04-04 05:30:00,4030.0,3892.05,2024-04,3957.0,932478
COALINDIA,448.85,2024-04-04 05:30:00,453.5,442.55,2024-04,450.0,14743020
MARUTI,12567.25,2024-04-04 05:30:00,12649.0,12318.05,2024-04,12490.0,491166
INDUSINDBK,1544.45,2024-04-04 05:30:00,1550.45,1511.2,2024-04,1548.05,6077155
ASIANPAINT,2918.3,2024-04-04 05:30:00,2943.25,2851.25,2024-04,2870.0,1831347
TATASTEEL,163.4,2024-04-04 05:30:00,165.95,161.0,2024-04,165.55,61094750
HDFCLIFE,622.4,2024-04-04 05:30:00,626.5,618.1,2024-04,625.0,3858229
DRREDDY,1228.5,2024-04-04 05:30:00,1235.0,1209.5,2024-04,1231.0,1995095
SUNPHARMA,1619.35,2024-04-04 05:30:00,1628.0,1587.15,2024-04,1620.9,2439461
KOTAKBANK,1749.15,2024-04-04 05:30:00,1751.7,1723.3,2024-04,1747.0,13125292
SHRIRAMFIN,2499.3,2024-04-04 05:30:00,2574.95,2486.0,2024-04,2574.95,1403997
NESTLEIND,2549.6,2024-04-04 05:30:00,2570.0,2514.1,2024-04,2569.8,1391376
ONGC,269.0,2024-04-04 05:30:00,278.65,265.35,2024-04,278.65,24624383
CIPLA,1459.55,2024-04-04 05:30:00,1481.2,1445.1,2024-04,1479.0,1474799
BPCL,299.25,2024-04-04 05:30:00,308.05,297.73,2024-04,307.0,15187270
BRITANNIA,4813.6,2024-04-04 05:30:00,4855.0,4780.6,2024-04,4839.95,372526
SBILIFE,1463.75,2024-04-04 05:30:00,1475.05,1447.0,2024-04,1467.5,1905528
HINDALCO,577.75,2024-04-04 05:30:00,590.0,568.95,2024-04,590.0,7246259
HEROMOTOCO,4522.95,2024-04-04 05:30:00,4590.0,4462.75,2024-04,4585.0,1378250
AXISBANK,1062.95,2024-04-04 05:30:00,1080.7,1059.15,2024-04,1070.0,17964844
HDFCBANK,1527.6,2024-04-04 05:30:00,1530.0,1504.0,2024-04,1504.0,44467533
BAJAJ-AUTO,9146.15,2024-04-04 05:30:00,9181.75,8988.05,2024-04,9139.0,617929
