Ticker,close,date,high,low,month,open,volume
SBIN,620.2,2024-01-11 05:30:00,627.15,618.5,2024-01,626.0,15533860
BAJFINANCE,7669.75,2024-01-11 05:30:00,7793.3,7651.05,2024-01,7680.0,651741
TITAN,3698.6,2024-01-11 05:30:00,3742.7,3692.6,2024-01,3726.9,392818
ITC,462.65,2024-01-11 05:30:00,466.55,461.1,2024-01,464.1,6534775
TCS,3735.55,2024-01-11 05:30:00,3773.0,3707.0,2024-01,3724.0,1777909
LT,3504.85,2024-01-11 05:30:00,3559.55,3500.55,2024-01,3545.5,1105348
TATACONSUM,1105.51,2024-01-11 05:30:00,1111.14,1098.4,2024-01,1103.29,1070726
RELIANCE,1359.9,2024-01-11 05:30:00,1362.5,1328.5,2024-01,1329.5,23725852
HCLTECH,1484.8,2024-01-11 05:30:00,1500.0,1474.0,2024-01,1500.0,2271368
JSWSTEEL,822.05,2024-01-11 05:30:00,836.75,820.1,2024-01,834.8,1205504
ULTRACEMCO,9920.45,2024-01-11 05:30:00,9944.95,9719.15,2024-01,9839.9,375210
POWERGRID,241.95,2024-01-11 05:30:00,243.1,239.2,2024-01,240.25,18812468
INFY,1494.2,2024-01-11 05:30:00,1525.0,1486.6,2024-01,1524.9,11296088
TRENT,3175.8,2024-01-11 05:30:00,3213.2,3168.5,2024-01,3190.0,485141
BHARTIARTL,1062.85,2024-01-11 05:30:00,1073.9,1057.35,2024-01,1065.75,2604325
TATAMOTORS,815.65,2024-01-11 05:30:00,817.5,808.45,2024-01,813.5,11075167
WIPRO,448.2,2024-01-11 05:30:00,456.9,446.7,2024-01,454.95,4319409
TECHM,1249.4,2024-01-11 05:30:00,1261.8,1240.9,2024-01,1240.9,930492
NTPC,312.9,2024-01-11 05:30:00,317.3,312.35,2024-01,314.95,10316319
HINDUNILVR,2536.2,2024-01-11 05:30:00,2589.0,2531.85,2024-01,2580.0,2399600
APOLLOHOSP,5869.9,2024-01-11 05:30:00,5892.0,5802.25,2024-01,5804.0,213210
M&M,1628.65,2024-01-11 05:30:00,1651.25,1625.85,2024-01,1643.9,2228002
GRASIM,2083.7,2024-01-11 05:30:00,2096.3,2051.0,2024-01,2069.95,887806
ICICIBANK,991.15,2024-01-11 05:30:00,998.5,986.85,2024-01,995.3,6451345
ADANIENT,3080.9,2024-01-11 05:30:00,3129.0,3065.0,2024-01,3120.0,2008103
ADANIPORTS,1202.95,2024-01-11 05:30:00,1223.6,1200.0,2024-01,1221.0,3721202
BEL,184.35,2024-01-11 05:30:00,187.65,183.8,2024-01,187.0,10942508
BAJAJFINSV,1669.25,2024-01-11 05:30:00,1702.65,1660.15,2024-01,1679.0,861924
EICHERMOT,3888.8,2024-01-11 05:30:00,3924.7,3852.45,2024-01,3868.8,378237
COALINDIA,384.35,2024-01-11 05:30:00,388.9,383.3,2024-01,385.5,9163771
MARUTI,10011.1,2024-01-11 05:30:00,10124.1,10000.0,2024-01,10025.1,1024815
INDUSINDBK,1657.85,2024-01-11 05:30:00,1668.2,1642.55,2024-01,1643.95,1914421
ASIANPAINT,3288.2,2024-01-11 05:30:00,3309.2,3270.7,2024-01,3286.85,537469
TATASTEEL,134.9,2024-01-11 05:30:00,135.65,134.2,2024-01,134.85,23113349
HDFCLIFE,644.0,2024-01-11 05:30:00,653.1,639.9,2024-01,646.0,2800658
DRREDDY,1138.49,2024-01-11 05:30:00,1155.6,1129.02,2024-01,1155.6,2964925
SUNPHARMA,1316.25,2024-01-11 05:30:00,1331.9,1310.2,2024-01,1328.0,1320281
KOTAKBANK,1822.85,2024-01-11 05:30:00,1841.4,1815.35,2024-01,1832.0,4170070
SHRIRAMFIN,2279.75,2024-01-11 05:30:00,2289.85,2204.0,2024-01,2217.95,2932789
NESTLEIND,2557.2,2024-01-11 05:30:00,2589.95,2550.1,2024-01,2580.0,775667
ONGC,211.85,2024-01-11 05:30:00,214.0,210.85,2024-01,214.0,12586419
CIPLA,1325.65,2024-01-11 05:30:00,1340.0,1323.05,2024-01,1339.85,1097204
BPCL,229.35,2024-01-11 05:30:00,230.6,226.6,2024-01,226.95,15751252
BRITANNIA,5136.7,2024-01-11 05:30:00,5186.4,5076.55,2024-01,5102.9,277823
SBILIFE,1427.8,2024-01-11 05:30:00,1463.3,1425.9,2024-01,1450.05,908421
HINDALCO,576.95,2024-01-11 05:30:00,587.0,575.5,2024-01,582.95,3899383
HEROMOTOCO,4342.2,2024-01-11 05:30:00,4395.0,4162.0,2024-01,4175.0,2133475
AXISBANK,1125.75,2024-01-11 05:30:00,1127.9,1111.05,2024-01,1111.05,4683035
HDFCBANK,1649.0,2024-01-11 05:30:00,1662.9,1643.0,2024-01,1660.0,9157005
BAJAJ-AUTO,7298.85,2024-01-11 05:30:00,7324.9,7075.0,2024-01,7090.0,1031594
