Ticker,close,date,high,low,month,open,volume
SBIN,822.45,2024-10-30 05:30:00,833.0,821.05,2024-10,828.0,15977682
BAJFINANCE,6955.0,2024-10-30 05:30:00,7020.45,6932.0,2024-10,6999.0,566044
TITAN,3308.45,2024-10-30 05:30:00,3321.8,3235.1,2024-10,3261.0,895278
ITC,491.55,2024-10-30 05:30:00,493.25,486.5,2024-10,487.95,6393835
TCS,4084.65,2024-10-30 05:30:00,4107.0,4060.05,2024-10,4075.0,1935002
LT,3408.35,2024-10-30 05:30:00,3438.4,3353.0,2024-10,3379.95,1785128
TATACONSUM,1022.7,2024-10-30 05:30:00,1027.0,988.15,2024-10,991.25,2048134
RELIANCE,1343.9,2024-10-30 05:30:00,1350.0,1325.35,2024-10,1335.0,11984423
HCLTECH,1838.8,2024-10-30 05:30:00,1869.45,1835.3,2024-10,1861.0,1732047
JSWSTEEL,957.3,2024-10-30 05:30:00,968.55,952.3,2024-10,966.2,733890
ULTRACEMCO,11205.1,2024-10-30 05:30:00,11230.0,11011.4,2024-10,11115.0,239933
POWERGRID,318.45,2024-10-30 05:30:00,325.4,316.75,2024-10,318.55,14498110
INFY,1802.1,2024-10-30 05:30:00,1839.0,1796.35,2024-10,1832.0,5919715
TRENT,7252.45,2024-10-30 05:30:00,7428.8,7215.0,2024-10,7420.0,481764
BHARTIARTL,1633.35,2024-10-30 05:30:00,1651.0,1617.8,2024-10,1627.8,4622628
TATAMOTORS,840.2,2024-10-30 05:30:00,853.6,838.05,2024-10,846.0,12933218
WIPRO,565.25,2024-10-30 05:30:00,578.75,561.1,2024-10,562.5,10377746
TECHM,1684.95,2024-10-30 05:30:00,1712.15,1682.25,2024-10,1704.1,1305424
NTPC,408.5,2024-10-30 05:30:00,414.8,405.8,2024-10,414.15,12264297
HINDUNILVR,2554.95,2024-10-30 05:30:00,2563.3,2533.4,2024-10,2557.0,1200637
APOLLOHOSP,6982.5,2024-10-30 05:30:00,7035.0,6939.8,2024-10,6980.6,191699
M&M,2707.7,2024-10-30 05:30:00,2755.85,2669.05,2024-10,2689.25,5677865
GRASIM,2672.55,2024-10-30 05:30:00,2708.6,2666.05,2024-10,2691.65,469403
ICICIBANK,1312.15,2024-10-30 05:30:00,1330.9,1305.6,2024-10,1324.0,15055031
ADANIENT,2969.3,2024-10-30 05:30:00,2997.15,2815.05,2024-10,2864.0,2884272
ADANIPORTS,1396.2,2024-10-30 05:30:00,1414.9,1358.05,2024-10,1379.95,2526884
BEL,288.55,2024-10-30 05:30:00,294.75,282.05,2024-10,283.45,40787587
BAJAJFINSV,1752.45,2024-10-30 05:30:00,1777.45,1740.2,2024-10,1766.7,826677
EICHERMOT,4869.25,2024-10-30 05:30:00,4947.75,4850.1,2024-10,4850.1,842334
COALINDIA,449.15,2024-10-30 05:30:00,455.8,445.0,2024-10,448.0,7818123
MARUTI,11256.45,2024-10-30 05:30:00,11520.0,10945.0,2024-10,10979.0,1672966
INDUSINDBK,1056.4,2024-10-30 05:30:00,1069.4,1030.25,2024-10,1037.65,8907271
ASIANPAINT,2996.65,2024-10-30 05:30:00,3006.0,2963.55,2024-10,3006.0,812725
TATASTEEL,148.97,2024-10-30 05:30:00,150.95,148.1,2024-10,148.1,21362130
HDFCLIFE,727.05,2024-10-30 05:30:00,745.0,724.55,2024-10,744.25,1645358
DRREDDY,1249.85,2024-10-30 05:30:00,1273.0,1228.8,2024-10,1273.0,2065575
SUNPHARMA,1852.1,2024-10-30 05:30:00,1880.9,1820.0,2024-10,1868.5,1900203
KOTAKBANK,1734.6,2024-10-30 05:30:00,1760.0,1726.6,2024-10,1727.0,4385949
SHRIRAMFIN,3185.8,2024-10-30 05:30:00,3259.7,3176.95,2024-10,3217.05,1392877
NESTLEIND,2276.3,2024-10-30 05:30:00,2297.25,2260.2,2024-10,2278.75,893773
ONGC,261.65,2024-10-30 05:30:00,266.2,261.05,2024-10,265.0,11166643
CIPLA,1418.25,2024-10-30 05:30:00,1440.0,1403.0,2024-10,1440.0,5064434
BPCL,311.3,2024-10-30 05:30:00,314.9,307.35,2024-10,309.0,6248318
BRITANNIA,5782.5,2024-10-30 05:30:00,5799.0,5641.6,2024-10,5666.6,218180
SBILIFE,1624.15,2024-10-30 05:30:00,1649.35,1619.3,2024-10,1636.5,1512352
HINDALCO,688.4,2024-10-30 05:30:00,698.8,685.4,2024-10,690.95,3284187
HEROMOTOCO,4909.3,2024-10-30 05:30:00,5037.5,4740.1,2024-10,4745.0,1039340
AXISBANK,1170.4,2024-10-30 05:30:00,1187.65,1164.3,2024-10,1178.75,9686560
HDFCBANK,1734.6,2024-10-30 05:30:00,1754.75,1724.2,2024-10,1742.0,16357862
BAJAJ-AUTO,9940.65,2024-10-30 05:30:00,10057.75,9770.0,2024-10,9820.0,604822
