Ticker,close,date,high,low,month,open,volume
SBIN,746.7,2024-03-22 05:30:00,748.8,741.4,2024-03,743.85,15535921
BAJFINANCE,6760.9,2024-03-22 05:30:00,6803.0,6686.3,2024-03,6705.0,1125238
TITAN,3706.7,2024-03-22 05:30:00,3726.9,3621.25,2024-03,3627.55,1281102
ITC,428.6,2024-03-22 05:30:00,429.65,421.25,2024-03,421.25,38861818
TCS,3910.9,2024-03-22 05:30:00,3938.0,3855.0,2024-03,3897.0,5852485
LT,3617.8,2024-03-22 05:30:00,3647.3,3546.2,2024-03,3546.2,3020545
TATACONSUM,1108.97,2024-03-22 05:30:00,1126.0,1105.26,2024-03,1120.03,1675551
RELIANCE,1455.03,2024-03-22 05:30:00,1460.0,1447.35,2024-03,1449.98,19527608
HCLTECH,1557.85,2024-03-22 05:30:00,1571.45,1508.2,2024-03,1560.0,7468824
JSWSTEEL,824.8,2024-03-22 05:30:00,832.95,806.75,2024-03,808.0,3983433
ULTRACEMCO,9681.75,2024-03-22 05:30:00,9751.8,9580.0,2024-03,9610.0,224511
POWERGRID,275.75,2024-03-22 05:30:00,278.25,271.35,2024-03,273.75,22097588
INFY,1508.85,2024-03-22 05:30:00,1528.9,1498.2,2024-03,1521.0,14673890
TRENT,3948.6,2024-03-22 05:30:00,4025.0,3921.95,2024-03,4010.0,678055
BHARTIARTL,1236.1,2024-03-22 05:30:00,1245.0,1222.0,2024-03,1226.95,7840007
TATAMOTORS,979.8,2024-03-22 05:30:00,986.2,950.35,2024-03,964.9,13638296
WIPRO,487.1,2024-03-22 05:30:00,490.75,479.55,2024-03,489.25,14323251
TECHM,1262.65,2024-03-22 05:30:00,1279.9,1236.1,2024-03,1258.5,2990908
NTPC,324.75,2024-03-22 05:30:00,327.25,321.15,2024-03,324.5,14709219
HINDUNILVR,2256.55,2024-03-22 05:30:00,2266.0,2232.05,2024-03,2239.05,3507809
APOLLOHOSP,6375.9,2024-03-22 05:30:00,6390.9,6168.7,2024-03,6169.15,727548
M&M,1878.8,2024-03-22 05:30:00,1905.45,1847.25,2024-03,1865.85,3786990
GRASIM,2223.55,2024-03-22 05:30:00,2234.0,2194.45,2024-03,2200.0,551648
ICICIBANK,1090.3,2024-03-22 05:30:00,1093.7,1078.7,2024-03,1081.15,17214415
ADANIENT,3107.7,2024-03-22 05:30:00,3128.95,3048.05,2024-03,3066.55,951557
ADANIPORTS,1281.6,2024-03-22 05:30:00,1289.1,1255.05,2024-03,1262.45,3076926
BEL,197.5,2024-03-22 05:30:00,198.95,192.75,2024-03,196.5,31321524
BAJAJFINSV,1587.55,2024-03-22 05:30:00,1610.0,1583.4,2024-03,1593.0,1570412
EICHERMOT,3988.4,2024-03-22 05:30:00,4013.95,3863.2,2024-03,3945.0,1033237
COALINDIA,431.95,2024-03-22 05:30:00,436.2,428.3,2024-03,430.9,9172888
MARUTI,12337.7,2024-03-22 05:30:00,12427.3,11890.05,2024-03,11890.05,1062263
INDUSINDBK,1512.1,2024-03-22 05:30:00,1520.35,1473.0,2024-03,1477.75,5309042
ASIANPAINT,2841.5,2024-03-22 05:30:00,2855.15,2808.0,2024-03,2821.15,1652689
TATASTEEL,151.8,2024-03-22 05:30:00,152.75,148.35,2024-03,149.0,68241556
HDFCLIFE,623.85,2024-03-22 05:30:00,628.65,616.0,2024-03,623.9,3636733
DRREDDY,1240.64,2024-03-22 05:30:00,1247.88,1221.01,2024-03,1225.8,1528595
SUNPHARMA,1608.9,2024-03-22 05:30:00,1621.0,1566.1,2024-03,1568.9,4941447
KOTAKBANK,1776.4,2024-03-22 05:30:00,1782.5,1765.0,2024-03,1769.9,7061283
SHRIRAMFIN,2330.7,2024-03-22 05:30:00,2358.7,2305.15,2024-03,2339.0,1273555
NESTLEIND,2573.4,2024-03-22 05:30:00,2592.0,2537.0,2024-03,2540.2,1013563
ONGC,263.25,2024-03-22 05:30:00,265.25,258.45,2024-03,262.95,13025089
CIPLA,1481.25,2024-03-22 05:30:00,1489.6,1451.05,2024-03,1453.0,1746930
BPCL,296.4,2024-03-22 05:30:00,302.23,292.27,2024-03,294.5,21445540
BRITANNIA,4865.0,2024-03-22 05:30:00,4892.95,4784.9,2024-03,4800.0,264787
SBILIFE,1501.1,2024-03-22 05:30:00,1511.0,1458.1,2024-03,1474.0,563028
HINDALCO,547.75,2024-03-22 05:30:00,550.65,537.35,2024-03,539.7,5518261
HEROMOTOCO,4684.0,2024-03-22 05:30:00,4736.35,4517.6,2024-03,4538.8,902115
AXISBANK,1033.3,2024-03-22 05:30:00,1047.25,1029.95,2024-03,1040.1,9891194
HDFCBANK,1442.85,2024-03-22 05:30:00,1450.75,1437.75,2024-03,1441.0,22990163
BAJAJ-AUTO,8945.25,2024-03-22 05:30:00,9050.0,8682.0,2024-03,8700.05,851210
