Ticker,close,date,high,low,month,open,volume
SBIN,612.4,2023-12-12 05:30:00,617.95,610.8,2023-12,617.0,14494836
BAJFINANCE,7314.55,2023-12-12 05:30:00,7354.0,7280.0,2023-12,7280.0,633312
TITAN,3571.4,2023-12-12 05:30:00,3644.5,3563.25,2023-12,3637.0,1075941
ITC,453.1,2023-12-12 05:30:00,460.0,452.35,2023-12,454.2,10158101
TCS,3672.1,2023-12-12 05:30:00,3698.4,3631.0,2023-12,3638.95,2236866
LT,3342.4,2023-12-12 05:30:00,3375.0,3332.0,2023-12,3375.0,1888423
TATACONSUM,937.1,2023-12-12 05:30:00,950.14,932.02,2023-12,941.35,723075
RELIANCE,1212.03,2023-12-12 05:30:00,1232.47,1210.08,2023-12,1230.0,9197124
HCLTECH,1375.3,2023-12-12 05:30:00,1387.0,1370.0,2023-12,1377.0,2730422
JSWSTEEL,853.85,2023-12-12 05:30:00,862.8,845.25,2023-12,846.6,2518863
ULTRACEMCO,9863.5,2023-12-12 05:30:00,9961.15,9635.05,2023-12,9702.45,1060266
POWERGRID,231.35,2023-12-12 05:30:00,233.3,229.5,2023-12,230.0,14355329
INFY,1476.05,2023-12-12 05:30:00,1490.0,1467.65,2023-12,1477.5,6103494
TRENT,2883.55,2023-12-12 05:30:00,2909.9,2849.7,2023-12,2896.9,462633
BHARTIARTL,995.25,2023-12-12 05:30:00,1000.85,987.0,2023-12,999.25,7119331
TATAMOTORS,715.4,2023-12-12 05:30:00,724.8,713.0,2023-12,724.8,6461539
WIPRO,422.2,2023-12-12 05:30:00,427.9,420.15,2023-12,420.7,5951682
TECHM,1226.15,2023-12-12 05:30:00,1245.0,1218.65,2023-12,1237.95,1114846
NTPC,283.4,2023-12-12 05:30:00,288.6,280.85,2023-12,287.45,8640883
HINDUNILVR,2502.75,2023-12-12 05:30:00,2518.0,2497.0,2023-12,2500.0,1677929
APOLLOHOSP,5428.95,2023-12-12 05:30:00,5550.0,5403.2,2023-12,5550.0,615205
M&M,1635.4,2023-12-12 05:30:00,1670.0,1626.5,2023-12,1663.0,2051527
GRASIM,2072.51,2023-12-12 05:30:00,2120.57,2067.38,2023-12,2081.72,768374
ICICIBANK,1015.7,2023-12-12 05:30:00,1021.0,1008.6,2023-12,1017.1,12380856
ADANIENT,2857.65,2023-12-12 05:30:00,2895.95,2840.55,2023-12,2869.1,2017772
ADANIPORTS,1041.95,2023-12-12 05:30:00,1048.45,1023.25,2023-12,1037.05,4902289
BEL,160.8,2023-12-12 05:30:00,162.8,160.0,2023-12,162.45,16306341
BAJAJFINSV,1706.75,2023-12-12 05:30:00,1719.75,1700.5,2023-12,1704.8,1390539
EICHERMOT,3951.75,2023-12-12 05:30:00,4047.45,3936.15,2023-12,4047.45,981121
COALINDIA,347.5,2023-12-12 05:30:00,354.6,345.15,2023-12,354.15,8789103
MARUTI,10338.4,2023-12-12 05:30:00,10624.0,10301.1,2023-12,10620.0,1088687
INDUSINDBK,1497.0,2023-12-12 05:30:00,1528.9,1489.95,2023-12,1528.9,1621785
ASIANPAINT,3224.75,2023-12-12 05:30:00,3257.05,3210.0,2023-12,3228.0,1019030
TATASTEEL,130.1,2023-12-12 05:30:00,132.15,129.7,2023-12,130.05,30696410
HDFCLIFE,707.35,2023-12-12 05:30:00,710.6,675.35,2023-12,676.9,10749420
DRREDDY,1108.07,2023-12-12 05:30:00,1126.96,1095.48,2023-12,1100.0,4281525
SUNPHARMA,1218.0,2023-12-12 05:30:00,1250.0,1212.65,2023-12,1249.0,2832873
KOTAKBANK,1824.35,2023-12-12 05:30:00,1853.0,1819.05,2023-12,1848.0,3814962
SHRIRAMFIN,1995.25,2023-12-12 05:30:00,2065.0,1988.05,2023-12,2065.0,1431809
NESTLEIND,2494.72,2023-12-12 05:30:00,2524.07,2480.23,2023-12,2504.34,641230
ONGC,195.4,2023-12-12 05:30:00,197.8,194.55,2023-12,196.95,10719911
CIPLA,1198.65,2023-12-12 05:30:00,1214.25,1195.2,2023-12,1210.6,899911
BPCL,223.78,2023-12-12 05:30:00,225.73,222.75,2023-12,222.75,19940320
BRITANNIA,4903.05,2023-12-12 05:30:00,4971.45,4875.0,2023-12,4968.0,184238
SBILIFE,1481.45,2023-12-12 05:30:00,1491.9,1459.95,2023-12,1464.5,1763549
HINDALCO,527.45,2023-12-12 05:30:00,538.5,522.15,2023-12,525.0,9498031
HEROMOTOCO,3747.15,2023-12-12 05:30:00,3793.95,3715.25,2023-12,3728.0,598126
AXISBANK,1131.0,2023-12-12 05:30:00,1133.9,1109.0,2023-12,1120.0,9044111
HDFCBANK,1634.6,2023-12-12 05:30:00,1656.25,1631.85,2023-12,1654.2,18290738
BAJAJ-AUTO,6254.2,2023-12-12 05:30:00,6299.95,6149.95,2023-12,6164.0,810900
