Ticker,close,date,high,low,month,open,volume
SBIN,796.65,2024-10-04 05:30:00,809.85,785.25,2024-10,792.0,20097454
BAJFINANCE,7211.35,2024-10-04 05:30:00,7430.0,7155.0,2024-10,7420.0,1768111
TITAN,3670.1,2024-10-04 05:30:00,3753.8,3625.0,2024-10,3625.0,1542987
ITC,503.55,2024-10-04 05:30:00,517.35,501.55,2024-10,510.0,18228912
TCS,4252.25,2024-10-04 05:30:00,4298.0,4224.05,2024-10,4225.0,2965463
LT,3493.95,2024-10-04 05:30:00,3553.55,3468.5,2024-10,3515.0,3445879
TATACONSUM,1130.4,2024-10-04 05:30:00,1154.75,1125.2,2024-10,1150.0,1773781
RELIANCE,1386.53,2024-10-04 05:30:00,1417.35,1381.78,2024-10,1403.93,37072876
HCLTECH,1776.6,2024-10-04 05:30:00,1807.9,1767.25,2024-10,1778.0,2982759
JSWSTEEL,1033.75,2024-10-04 05:30:00,1063.0,1027.3,2024-10,1042.0,4855592
ULTRACEMCO,11450.25,2024-10-04 05:30:00,11829.15,11380.0,2024-10,11700.0,357277
POWERGRID,338.85,2024-10-04 05:30:00,347.45,337.75,2024-10,343.0,20121706
INFY,1918.15,2024-10-04 05:30:00,1954.1,1886.0,2024-10,1889.55,10001483
TRENT,7353.3,2024-10-04 05:30:00,7455.95,7272.0,2024-10,7441.0,938897
BHARTIARTL,1640.9,2024-10-04 05:30:00,1686.7,1630.15,2024-10,1670.05,8576527
TATAMOTORS,930.75,2024-10-04 05:30:00,949.2,920.0,2024-10,930.0,19187758
WIPRO,533.55,2024-10-04 05:30:00,541.95,528.05,2024-10,528.05,5961377
TECHM,1616.45,2024-10-04 05:30:00,1648.4,1591.0,2024-10,1591.0,2927576
NTPC,430.45,2024-10-04 05:30:00,439.35,426.3,2024-10,432.9,18347292
HINDUNILVR,2848.75,2024-10-04 05:30:00,2914.0,2817.05,2024-10,2891.0,2456486
APOLLOHOSP,6773.6,2024-10-04 05:30:00,6958.3,6727.35,2024-10,6902.1,429272
M&M,3017.45,2024-10-04 05:30:00,3157.6,3009.5,2024-10,3127.05,4281562
GRASIM,2745.1,2024-10-04 05:30:00,2788.8,2731.0,2024-10,2766.15,708378
ICICIBANK,1239.75,2024-10-04 05:30:00,1264.4,1236.2,2024-10,1247.1,13488887
ADANIENT,3110.65,2024-10-04 05:30:00,3149.5,3070.0,2024-10,3119.9,987583
ADANIPORTS,1413.7,2024-10-04 05:30:00,1446.4,1404.2,2024-10,1424.8,2611371
BEL,277.2,2024-10-04 05:30:00,281.9,273.55,2024-10,278.7,17451235
BAJAJFINSV,1884.55,2024-10-04 05:30:00,1935.0,1865.25,2024-10,1913.3,2423416
EICHERMOT,4706.8,2024-10-04 05:30:00,4802.8,4690.85,2024-10,4782.0,466001
COALINDIA,497.2,2024-10-04 05:30:00,504.65,494.05,2024-10,499.6,7170285
MARUTI,12605.75,2024-10-04 05:30:00,12877.85,12512.5,2024-10,12689.9,679362
INDUSINDBK,1382.85,2024-10-04 05:30:00,1410.95,1380.85,2024-10,1384.05,2178195
ASIANPAINT,3072.5,2024-10-04 05:30:00,3156.75,3054.55,2024-10,3135.0,1551818
TATASTEEL,166.75,2024-10-04 05:30:00,169.1,164.0,2024-10,167.0,53880875
HDFCLIFE,708.8,2024-10-04 05:30:00,713.5,701.55,2024-10,702.25,2616851
DRREDDY,1326.65,2024-10-04 05:30:00,1346.58,1322.2,2024-10,1342.6,1742335
SUNPHARMA,1910.05,2024-10-04 05:30:00,1952.25,1903.65,2024-10,1910.85,2798189
KOTAKBANK,1809.0,2024-10-04 05:30:00,1850.0,1798.35,2024-10,1815.5,3734632
SHRIRAMFIN,3336.3,2024-10-04 05:30:00,3414.5,3315.5,2024-10,3407.0,1765505
NESTLEIND,2598.15,2024-10-04 05:30:00,2678.35,2590.3,2024-10,2663.0,1033034
ONGC,295.25,2024-10-04 05:30:00,299.7,293.2,2024-10,297.0,23104209
CIPLA,1623.3,2024-10-04 05:30:00,1656.4,1577.3,2024-10,1645.1,2371220
BPCL,340.25,2024-10-04 05:30:00,347.95,334.35,2024-10,342.5,18185208
BRITANNIA,6206.0,2024-10-04 05:30:00,6339.95,6179.85,2024-10,6278.25,395753
SBILIFE,1798.1,2024-10-04 05:30:00,1850.0,1782.55,2024-10,1805.55,1554623
HINDALCO,747.9,2024-10-04 05:30:00,757.55,740.05,2024-10,742.65,4624509
HEROMOTOCO,5520.85,2024-10-04 05:30:00,5649.95,5484.0,2024-10,5647.05,943922
AXISBANK,1178.4,2024-10-04 05:30:00,1202.8,1174.0,2024-10,1175.5,13064515
HDFCBANK,1657.65,2024-10-04 05:30:00,1690.65,1653.0,2024-10,1674.5,24341616
BAJAJ-AUTO,11774.4,2024-10-04 05:30:00,11948.3,11639.0,2024-10,11661.2,650553
