Ticker,close,date,high,low,month,open,volume
SBIN,814.5,2024-08-29 05:30:00,816.0,806.95,2024-08,809.55,18247268
BAJFINANCE,7063.55,2024-08-29 05:30:00,7158.0,6881.55,2024-08,6889.05,2639159
TITAN,3533.2,2024-08-29 05:30:00,3553.75,3510.0,2024-08,3537.0,927472
ITC,505.1,2024-08-29 05:30:00,507.7,497.35,2024-08,498.0,18670632
TCS,4511.8,2024-08-29 05:30:00,4556.0,4460.0,2024-08,4460.0,2133641
LT,3683.45,2024-08-29 05:30:00,3710.0,3651.55,2024-08,3690.5,2165489
TATACONSUM,1198.45,2024-08-29 05:30:00,1208.9,1185.25,2024-08,1201.15,1062444
RELIANCE,1520.93,2024-08-29 05:30:00,1537.0,1494.0,2024-08,1503.1,38335358
HCLTECH,1751.85,2024-08-29 05:30:00,1756.0,1697.25,2024-08,1714.0,5112407
JSWSTEEL,939.7,2024-08-29 05:30:00,950.5,930.8,2024-08,945.0,2233515
ULTRACEMCO,11222.0,2024-08-29 05:30:00,11256.7,11115.4,2024-08,11230.0,406261
POWERGRID,333.3,2024-08-29 05:30:00,335.9,328.8,2024-08,332.5,17653536
INFY,1933.35,2024-08-29 05:30:00,1950.5,1920.9,2024-08,1933.0,7228284
TRENT,7170.65,2024-08-29 05:30:00,7291.95,7092.95,2024-08,7269.95,836313
BHARTIARTL,1565.9,2024-08-29 05:30:00,1571.7,1545.95,2024-08,1565.0,8036748
TATAMOTORS,1121.65,2024-08-29 05:30:00,1142.0,1066.0,2024-08,1079.05,40658159
WIPRO,538.7,2024-08-29 05:30:00,541.95,534.05,2024-08,535.0,12842659
TECHM,1647.35,2024-08-29 05:30:00,1656.25,1620.05,2024-08,1620.05,2194339
NTPC,409.9,2024-08-29 05:30:00,412.6,403.75,2024-08,409.05,19014705
HINDUNILVR,2785.25,2024-08-29 05:30:00,2810.0,2745.0,2024-08,2769.95,2129934
APOLLOHOSP,6857.2,2024-08-29 05:30:00,6907.35,6760.3,2024-08,6799.9,659960
M&M,2757.6,2024-08-29 05:30:00,2801.65,2741.65,2024-08,2789.35,2237121
GRASIM,2676.2,2024-08-29 05:30:00,2719.0,2640.05,2024-08,2714.9,941802
ICICIBANK,1221.9,2024-08-29 05:30:00,1235.0,1217.0,2024-08,1218.95,10806748
ADANIENT,3020.15,2024-08-29 05:30:00,3041.95,2981.3,2024-08,3030.0,1853966
ADANIPORTS,1476.05,2024-08-29 05:30:00,1483.0,1452.6,2024-08,1472.05,3359850
BEL,296.2,2024-08-29 05:30:00,301.05,292.1,2024-08,299.35,19185385
BAJAJFINSV,1755.65,2024-08-29 05:30:00,1772.0,1711.55,2024-08,1716.0,5508206
EICHERMOT,4915.9,2024-08-29 05:30:00,4994.4,4880.0,2024-08,4946.85,571335
COALINDIA,527.55,2024-08-29 05:30:00,530.0,516.1,2024-08,526.35,9147836
MARUTI,12453.8,2024-08-29 05:30:00,12480.0,12250.0,2024-08,12343.0,608598
INDUSINDBK,1417.45,2024-08-29 05:30:00,1423.05,1405.25,2024-08,1414.2,3316387
ASIANPAINT,3115.85,2024-08-29 05:30:00,3143.95,3092.7,2024-08,3125.5,849866
TATASTEEL,152.97,2024-08-29 05:30:00,153.56,151.2,2024-08,153.21,44452983
HDFCLIFE,736.9,2024-08-29 05:30:00,748.5,731.85,2024-08,740.0,3962913
DRREDDY,1386.23,2024-08-29 05:30:00,1403.99,1377.82,2024-08,1379.66,1784160
SUNPHARMA,1799.2,2024-08-29 05:30:00,1826.85,1790.25,2024-08,1809.9,3205924
KOTAKBANK,1777.25,2024-08-29 05:30:00,1798.5,1773.0,2024-08,1783.25,5531158
SHRIRAMFIN,3200.5,2024-08-29 05:30:00,3262.0,3174.55,2024-08,3199.0,1195285
NESTLEIND,2504.55,2024-08-29 05:30:00,2519.45,2490.65,2024-08,2498.9,899794
ONGC,329.6,2024-08-29 05:30:00,330.15,324.95,2024-08,326.1,13799961
CIPLA,1618.55,2024-08-29 05:30:00,1642.3,1609.0,2024-08,1622.0,2749546
BPCL,356.45,2024-08-29 05:30:00,357.55,347.15,2024-08,349.8,13054801
BRITANNIA,5831.4,2024-08-29 05:30:00,5845.0,5696.15,2024-08,5710.0,351330
SBILIFE,1843.7,2024-08-29 05:30:00,1867.75,1835.5,2024-08,1840.0,2248185
HINDALCO,700.5,2024-08-29 05:30:00,702.35,691.4,2024-08,697.65,5728640
HEROMOTOCO,5374.5,2024-08-29 05:30:00,5387.3,5290.9,2024-08,5300.0,516725
AXISBANK,1175.4,2024-08-29 05:30:00,1179.9,1163.4,2024-08,1169.0,7290114
HDFCBANK,1638.55,2024-08-29 05:30:00,1644.4,1631.15,2024-08,1642.0,24526302
BAJAJ-AUTO,10807.85,2024-08-29 05:30:00,10850.0,10555.4,2024-08,10582.05,693506
