Ticker,close,date,high,low,month,open,volume
SBIN,643.75,2023-12-21 05:30:00,648.95,627.5,2023-12,632.15,19915516
BAJFINANCE,7367.15,2023-12-21 05:30:00,7477.0,7305.5,2023-12,7426.6,913082
TITAN,3580.0,2023-12-21 05:30:00,3598.95,3518.8,2023-12,3524.1,816722
ITC,451.45,2023-12-21 05:30:00,453.75,444.45,2023-12,449.0,11154625
TCS,3787.5,2023-12-21 05:30:00,3806.7,3743.35,2023-12,3756.25,1517562
LT,3424.15,2023-12-21 05:30:00,3439.95,3333.0,2023-12,3390.05,2292802
TATACONSUM,967.28,2023-12-21 05:30:00,971.82,951.23,2023-12,964.02,1569398
RELIANCE,1281.28,2023-12-21 05:30:00,1286.75,1259.13,2023-12,1263.5,13765454
HCLTECH,1422.05,2023-12-21 05:30:00,1447.05,1420.1,2023-12,1421.15,2841508
JSWSTEEL,841.9,2023-12-21 05:30:00,847.65,820.1,2023-12,830.0,2106856
ULTRACEMCO,9954.45,2023-12-21 05:30:00,9985.0,9824.85,2023-12,9881.0,216730
POWERGRID,232.35,2023-12-21 05:30:00,233.2,222.7,2023-12,224.45,17755207
INFY,1536.0,2023-12-21 05:30:00,1546.65,1521.25,2023-12,1521.25,5319038
TRENT,2955.2,2023-12-21 05:30:00,2969.9,2879.5,2023-12,2909.95,631420
BHARTIARTL,977.9,2023-12-21 05:30:00,981.55,960.0,2023-12,968.0,4294277
TATAMOTORS,708.85,2023-12-21 05:30:00,711.9,696.25,2023-12,703.0,7702232
WIPRO,434.0,2023-12-21 05:30:00,436.5,427.2,2023-12,428.9,5331504
TECHM,1250.1,2023-12-21 05:30:00,1258.55,1226.0,2023-12,1232.0,3337533
NTPC,301.95,2023-12-21 05:30:00,303.15,293.2,2023-12,295.8,17868637
HINDUNILVR,2553.2,2023-12-21 05:30:00,2580.0,2536.0,2023-12,2542.25,1945695
APOLLOHOSP,5475.85,2023-12-21 05:30:00,5553.0,5284.85,2023-12,5344.0,487514
M&M,1633.85,2023-12-21 05:30:00,1653.15,1620.4,2023-12,1635.0,3211338
GRASIM,2077.34,2023-12-21 05:30:00,2082.57,2041.88,2023-12,2041.88,441717
ICICIBANK,1004.4,2023-12-21 05:30:00,1010.9,989.2,2023-12,996.55,18064916
ADANIENT,2799.75,2023-12-21 05:30:00,2821.95,2725.0,2023-12,2750.0,2678577
ADANIPORTS,1018.95,2023-12-21 05:30:00,1028.0,989.25,2023-12,996.15,5352057
BEL,170.65,2023-12-21 05:30:00,171.85,164.05,2023-12,165.0,22646625
BAJAJFINSV,1666.85,2023-12-21 05:30:00,1681.8,1660.25,2023-12,1663.0,988034
EICHERMOT,3957.95,2023-12-21 05:30:00,4007.9,3847.55,2023-12,3900.0,445648
COALINDIA,355.5,2023-12-21 05:30:00,356.8,346.1,2023-12,351.1,10028664
MARUTI,10012.8,2023-12-21 05:30:00,10099.2,9900.0,2023-12,10000.0,739806
INDUSINDBK,1570.0,2023-12-21 05:30:00,1574.0,1527.55,2023-12,1542.1,2400593
ASIANPAINT,3302.95,2023-12-21 05:30:00,3320.0,3271.85,2023-12,3280.0,1585879
TATASTEEL,131.0,2023-12-21 05:30:00,131.45,127.85,2023-12,128.7,34914399
HDFCLIFE,644.2,2023-12-21 05:30:00,648.7,637.15,2023-12,641.0,2755102
DRREDDY,1110.9,2023-12-21 05:30:00,1118.8,1094.24,2023-12,1108.0,1681900
SUNPHARMA,1233.5,2023-12-21 05:30:00,1237.95,1208.55,2023-12,1224.1,1916222
KOTAKBANK,1852.7,2023-12-21 05:30:00,1857.45,1805.0,2023-12,1821.0,2403840
SHRIRAMFIN,2016.85,2023-12-21 05:30:00,2047.9,1972.0,2023-12,1997.3,1881198
NESTLEIND,2511.58,2023-12-21 05:30:00,2524.8,2490.77,2023-12,2509.77,1106380
ONGC,202.65,2023-12-21 05:30:00,206.75,201.2,2023-12,203.95,22823936
CIPLA,1221.85,2023-12-21 05:30:00,1236.2,1205.85,2023-12,1236.2,1580136
BPCL,224.78,2023-12-21 05:30:00,225.23,216.23,2023-12,217.45,18554414
BRITANNIA,5059.6,2023-12-21 05:30:00,5113.3,4877.55,2023-12,4930.0,796081
SBILIFE,1403.75,2023-12-21 05:30:00,1410.3,1379.95,2023-12,1401.5,1841616
HINDALCO,556.25,2023-12-21 05:30:00,561.65,541.65,2023-12,544.0,4591119
HEROMOTOCO,3850.15,2023-12-21 05:30:00,3867.9,3752.05,2023-12,3775.05,410786
AXISBANK,1095.4,2023-12-21 05:30:00,1103.9,1077.2,2023-12,1103.9,10914682
HDFCBANK,1686.7,2023-12-21 05:30:00,1689.75,1650.25,2023-12,1657.0,18294620
BAJAJ-AUTO,6246.35,2023-12-21 05:30:00,6345.0,6232.0,2023-12,6333.2,397717
