Ticker,close,date,high,low,month,open,volume
SBIN,844.0,2024-06-27 05:30:00,847.4,838.25,2024-06,843.9,20378887
BAJFINANCE,7166.75,2024-06-27 05:30:00,7239.0,7083.05,2024-06,7150.0,1137606
TITAN,3380.6,2024-06-27 05:30:00,3392.5,3361.05,2024-06,3370.0,1462935
ITC,425.6,2024-06-27 05:30:00,427.25,421.1,2024-06,423.95,37012589
TCS,3934.15,2024-06-27 05:30:00,3942.0,3818.1,2024-06,3831.0,4526556
LT,3564.4,2024-06-27 05:30:00,3601.3,3550.0,2024-06,3597.45,5519875
TATACONSUM,1072.27,2024-06-27 05:30:00,1082.99,1064.62,2024-06,1076.72,2244951
RELIANCE,1530.55,2024-06-27 05:30:00,1537.5,1506.0,2024-06,1513.75,28383030
HCLTECH,1454.9,2024-06-27 05:30:00,1460.55,1423.5,2024-06,1435.0,6613193
JSWSTEEL,943.15,2024-06-27 05:30:00,945.6,915.3,2024-06,916.2,4700053
ULTRACEMCO,11716.7,2024-06-27 05:30:00,11874.95,11269.0,2024-06,11270.0,2339734
POWERGRID,331.55,2024-06-27 05:30:00,332.5,324.35,2024-06,328.55,27061015
INFY,1573.35,2024-06-27 05:30:00,1578.4,1532.05,2024-06,1538.45,14757754
TRENT,5329.0,2024-06-27 05:30:00,5387.0,5303.75,2024-06,5360.0,900729
BHARTIARTL,1475.8,2024-06-27 05:30:00,1489.0,1440.05,2024-06,1464.0,19675528
TATAMOTORS,972.1,2024-06-27 05:30:00,974.85,948.05,2024-06,952.5,19385412
WIPRO,510.8,2024-06-27 05:30:00,511.95,489.2,2024-06,492.15,21068569
TECHM,1432.25,2024-06-27 05:30:00,1443.8,1392.0,2024-06,1404.35,4286657
NTPC,377.15,2024-06-27 05:30:00,381.1,364.1,2024-06,365.05,55378829
HINDUNILVR,2462.15,2024-06-27 05:30:00,2483.2,2436.0,2024-06,2449.95,3402726
APOLLOHOSP,6192.5,2024-06-27 05:30:00,6200.4,6055.0,2024-06,6115.75,440975
M&M,2888.95,2024-06-27 05:30:00,2905.0,2793.05,2024-06,2842.0,6900180
GRASIM,2637.6,2024-06-27 05:30:00,2654.65,2552.25,2024-06,2554.9,4849907
ICICIBANK,1219.9,2024-06-27 05:30:00,1235.0,1209.1,2024-06,1228.35,20516632
ADANIENT,3175.15,2024-06-27 05:30:00,3202.25,3150.0,2024-06,3177.0,5114980
ADANIPORTS,1485.5,2024-06-27 05:30:00,1494.0,1459.0,2024-06,1475.6,7803408
BEL,304.5,2024-06-27 05:30:00,308.15,301.2,2024-06,306.1,39996580
BAJAJFINSV,1603.1,2024-06-27 05:30:00,1614.7,1595.05,2024-06,1600.25,2620064
EICHERMOT,4713.8,2024-06-27 05:30:00,4766.45,4682.05,2024-06,4722.0,1087487
COALINDIA,467.05,2024-06-27 05:30:00,469.0,461.5,2024-06,468.75,14857335
MARUTI,12178.75,2024-06-27 05:30:00,12227.3,12010.0,2024-06,12200.0,1230852
INDUSINDBK,1502.75,2024-06-27 05:30:00,1504.95,1485.0,2024-06,1494.0,5166134
ASIANPAINT,2880.85,2024-06-27 05:30:00,2903.0,2845.0,2024-06,2860.75,1628022
TATASTEEL,174.16,2024-06-27 05:30:00,174.95,171.8,2024-06,172.56,49767976
HDFCLIFE,593.25,2024-06-27 05:30:00,595.0,586.6,2024-06,589.05,4772196
DRREDDY,1247.18,2024-06-27 05:30:00,1249.89,1199.0,2024-06,1200.0,12168270
SUNPHARMA,1516.25,2024-06-27 05:30:00,1528.05,1505.0,2024-06,1525.0,3881458
KOTAKBANK,1830.55,2024-06-27 05:30:00,1838.0,1785.0,2024-06,1791.0,13342769
SHRIRAMFIN,2951.05,2024-06-27 05:30:00,2996.65,2923.95,2024-06,2987.05,2459635
NESTLEIND,2533.75,2024-06-27 05:30:00,2554.0,2508.05,2024-06,2531.2,866311
ONGC,267.5,2024-06-27 05:30:00,268.1,263.5,2024-06,267.4,22830930
CIPLA,1480.9,2024-06-27 05:30:00,1486.2,1465.3,2024-06,1481.0,2792582
BPCL,304.85,2024-06-27 05:30:00,307.0,296.05,2024-06,298.8,12487595
BRITANNIA,5430.3,2024-06-27 05:30:00,5450.0,5382.15,2024-06,5388.8,357573
SBILIFE,1463.45,2024-06-27 05:30:00,1473.65,1437.55,2024-06,1445.0,1492222
HINDALCO,685.25,2024-06-27 05:30:00,687.7,672.1,2024-06,678.0,7135387
HEROMOTOCO,5485.2,2024-06-27 05:30:00,5510.0,5421.0,2024-06,5459.9,874237
AXISBANK,1288.95,2024-06-27 05:30:00,1310.0,1280.0,2024-06,1310.0,22311393
HDFCBANK,1696.15,2024-06-27 05:30:00,1713.0,1686.6,2024-06,1696.1,27537325
BAJAJ-AUTO,9417.45,2024-06-27 05:30:00,9564.65,9365.65,2024-06,9564.65,637626
