Ticker,close,date,high,low,month,open,volume,price_change,daily_return,Prev_close,Volatility_return,cumulative_ret,COMPANY,sector,Symbol
ADANIENT,2387.25,2023-10-03 05:30:00,2424.9,2372.0,2023-10,2418.0,2019899,-30.75,-1.271712158808933,,,,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2464.95,2023-10-04 05:30:00,2502.75,2392.25,2023-10,2402.2,2857377,62.75,2.612188826908667,2387.25,0.03254791077599741,0.03254791077599739,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2466.35,2023-10-05 05:30:00,2486.5,2446.4,2023-10,2477.95,1132455,-11.599999999999907,-0.4681288968703933,2464.95,0.0005679628390028564,0.033134359618808285,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2478.1,2023-10-06 05:30:00,2514.95,2466.05,2023-10,2466.35,1510035,11.75,0.4764125124171346,2466.35,0.004764125124171346,0.038056340978112724,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2442.6,2023-10-09 05:30:00,2459.7,2411.3,2023-10,2440.0,1408224,2.599999999999909,0.1065573770491766,2478.1,-0.014325491303821476,0.023185673892553993,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2498.3,2023-10-10 05:30:00,2517.95,2443.0,2023-10,2443.0,1771910,55.30000000000018,2.263610315186254,2442.6,0.022803569966429328,0.04651795999581099,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2488.6,2023-10-11 05:30:00,2538.0,2482.5,2023-10,2533.9,1627836,-45.30000000000018,-1.7877580014996717,2498.3,-0.0038826401953329353,0.04245470729919343,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2506.35,2023-10-12 05:30:00,2521.75,2490.65,2023-10,2499.9,1804818,6.449999999999818,0.2580103204128092,2488.6,0.00713252431085751,0.049890040841972905,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2454.55,2023-10-13 05:30:00,2495.0,2422.35,2023-10,2488.9,2278682,-34.34999999999991,-1.3801277672867496,2506.35,-0.020667504538472173,0.028191433657974718,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2429.35,2023-10-16 05:30:00,2464.7,2421.85,2023-10,2454.55,803856,-25.20000000000028,-1.0266647654356305,2454.55,-0.010266647654356306,0.01763535448738085,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2428.4,2023-10-17 05:30:00,2462.0,2423.5,2023-10,2459.95,707543,-31.549999999999727,-1.2825463932193633,2429.35,-0.0003910511042047536,0.017237407058330767,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2406.35,2023-10-18 05:30:00,2441.75,2401.05,2023-10,2440.0,776977,-33.65000000000009,-1.3790983606557414,2428.4,-0.009080052709603105,0.008000837784061243,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2402.2,2023-10-19 05:30:00,2414.7,2382.55,2023-10,2400.0,1168822,2.199999999999818,0.091666666666659,2406.35,-0.0017246036528352447,0.006262435857157911,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2393.75,2023-10-20 05:30:00,2443.95,2382.05,2023-10,2398.05,1240350,-4.300000000000182,-0.1793123579575147,2402.2,-0.0035176088585462573,0.002722798198764531,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2308.65,2023-10-23 05:30:00,2412.35,2301.8,2023-10,2397.8,1483549,-89.15000000000009,-3.717991492201188,2393.75,-0.03555091383812007,-0.032924913603518347,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2257.0,2023-10-25 05:30:00,2348.05,2235.3,2023-10,2320.0,1540819,-63.0,-2.71551724137931,2308.65,-0.02237238212808355,-0.05456068698292982,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2203.2,2023-10-26 05:30:00,2249.0,2167.05,2023-10,2249.0,2226073,-45.80000000000018,-2.03646064917742,2257.0,-0.023836951705804247,-0.07709707822808642,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2261.7,2023-10-27 05:30:00,2275.0,2212.0,2023-10,2222.0,1244293,39.69999999999982,1.7866786678667783,2203.2,0.02655228758169935,-0.05259189443920809,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2299.1,2023-10-30 05:30:00,2305.0,2250.0,2023-10,2260.05,996448,39.04999999999973,1.7278378796929148,2261.7,0.016536233806428834,-0.03692533249554908,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2294.65,2023-10-31 05:30:00,2320.0,2276.0,2023-10,2320.0,1155280,-25.34999999999991,-1.0926724137930994,2299.1,-0.0019355399939105817,-0.038789402031626063,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2217.3,2023-11-01 05:30:00,2312.25,2207.0,2023-11,2299.0,1666579,-81.69999999999982,-3.5537190082644545,2294.65,-0.033708844486087165,-0.07119070059692079,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2215.3,2023-11-02 05:30:00,2297.95,2204.2,2023-11,2247.0,2340997,-31.69999999999981,-1.4107699154428044,2217.3,-0.0009019979254047715,-0.0720284846580791,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2229.85,2023-11-03 05:30:00,2279.0,2215.0,2023-11,2215.3,1853300,14.549999999999727,0.6567959192885716,2215.3,0.006567959192885716,-0.06593360561315298,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2246.0,2023-11-06 05:30:00,2260.0,2233.0,2023-11,2253.95,770061,-7.949999999999818,-0.3527141240932505,2229.85,0.007242639639437672,-0.05916849931930024,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2233.35,2023-11-07 05:30:00,2260.0,2226.65,2023-11,2257.0,641554,-23.65000000000009,-1.047851129818347,2246.0,-0.005632235084594876,-0.06446748350612608,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2259.95,2023-11-08 05:30:00,2298.0,2235.0,2023-11,2245.3,1169180,14.649999999999636,0.652474056918881,2233.35,0.01191035887791878,-0.05332495549272154,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2214.65,2023-11-09 05:30:00,2272.6,2210.1,2023-11,2269.0,1267890,-54.34999999999991,-2.395328338475095,2259.95,-0.02004469125423117,-0.07230076447795541,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2205.1,2023-11-10 05:30:00,2237.0,2198.5,2023-11,2220.25,1072597,-15.150000000000093,-0.6823555905866497,2214.65,-0.004312193800374859,-0.07630118336998604,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2211.35,2023-11-12 05:30:00,2226.0,2205.1,2023-11,2219.7,148320,-8.349999999999909,-0.3761769608505613,2205.1,0.0028343385787492634,-0.07368310817886659,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2213.65,2023-11-13 05:30:00,2241.9,2195.55,2023-11,2215.5,853633,-1.849999999999909,-0.0835025953509324,2211.35,0.0010400886336401664,-0.07271965650853451,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2225.4,2023-11-15 05:30:00,2250.0,2220.5,2023-11,2240.0,696475,-14.599999999999907,-0.6517857142857102,2213.65,0.005307975515551238,-0.06779767514922996,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2205.9,2023-11-16 05:30:00,2232.8,2196.1,2023-11,2226.0,1307584,-20.09999999999991,-0.902964959568729,2225.4,-0.008762469668374224,-0.07596606974552278,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2208.8,2023-11-17 05:30:00,2237.95,2201.0,2023-11,2205.9,916518,2.900000000000091,0.1314656149417512,2205.9,0.0013146561494175124,-0.07475128285684329,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2149.85,2023-11-20 05:30:00,2218.5,2142.0,2023-11,2211.0,1577213,-61.15000000000009,-2.765716870194486,2208.8,-0.026688699746468793,-0.09944496805948244,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2196.65,2023-11-21 05:30:00,2232.55,2158.35,2023-11,2160.0,1839502,36.65000000000009,1.6967592592592635,2149.85,0.02176896062515998,-0.07984082102837975,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2172.65,2023-11-22 05:30:00,2225.0,2153.5,2023-11,2205.15,1247205,-32.5,-1.4738226424506269,2196.65,-0.010925727812805862,-0.08989422976227857,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2175.25,2023-11-23 05:30:00,2190.0,2160.6,2023-11,2190.0,729114,-14.75,-0.6735159817351598,2172.65,0.0011966952799576135,-0.08880511048277295,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2225.45,2023-11-24 05:30:00,2251.95,2160.9,2023-11,2179.0,1946259,46.44999999999982,2.131711794401093,2175.25,0.023077807148603524,-0.06777673054770128,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2423.5,2023-11-28 05:30:00,2512.4,2275.0,2023-11,2301.0,11972275,122.5,5.323772272924816,2225.45,0.08899323732278874,0.015184836108493194,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2396.6,2023-11-29 05:30:00,2477.65,2390.0,2023-11,2468.7,4561574,-72.09999999999991,-2.9205654798071823,2423.5,-0.011099649267588236,0.003916640485915002,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2358.55,2023-11-30 05:30:00,2409.0,2343.05,2023-11,2400.05,2983879,-41.5,-1.7291306431116018,2396.6,-0.01587665859968277,-0.012022201277620326,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2362.7,2023-12-01 05:30:00,2403.35,2354.1,2023-12,2370.0,1792983,-7.300000000000182,-0.3080168776371385,2358.55,0.0017595556591972338,-0.010283799350717215,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2531.2,2023-12-04 05:30:00,2595.0,2487.45,2023-12,2549.95,5681516,-18.75,-0.7353085354614797,2362.7,0.07131671392897956,0.060299507801864216,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2959.35,2023-12-05 05:30:00,2999.9,2531.2,2023-12,2531.2,22879079,428.1500000000001,16.91490202275601,2531.2,0.1691490202275601,0.23964813069431368,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2883.95,2023-12-06 05:30:00,3154.55,2844.85,2023-12,3080.0,19355777,-196.05000000000013,-6.365259740259746,2959.35,-0.025478567928768174,0.20806367158864814,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2887.15,2023-12-07 05:30:00,2945.9,2853.05,2023-12,2900.0,6325887,-12.849999999999907,-0.4431034482758589,2883.95,0.0011095892785936902,0.20940412608650139,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2822.15,2023-12-08 05:30:00,2927.0,2760.0,2023-12,2902.7,6959428,-80.54999999999973,-2.775002583801279,2887.15,-0.022513551426146892,0.18217614409885874,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2855.8,2023-12-11 05:30:00,2919.9,2811.05,2023-12,2837.05,5064123,18.75,0.6608977635219682,2822.15,0.011923533476250409,0.1962718609278462,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2857.65,2023-12-12 05:30:00,2895.95,2840.55,2023-12,2869.1,2017772,-11.449999999999818,-0.399079850824294,2855.8,0.0006478044680999751,0.19704681118441747,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2875.05,2023-12-13 05:30:00,2899.1,2805.0,2023-12,2860.0,2805832,15.050000000000182,0.5262237762237826,2857.65,0.006088919216839042,0.20433553251649417,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2894.05,2023-12-14 05:30:00,2932.95,2887.0,2023-12,2900.95,3224681,-6.899999999999636,-0.2378531170823226,2875.05,0.006608580720335298,0.21229448109749738,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2991.8,2023-12-15 05:30:00,3000.0,2893.9,2023-12,2912.05,4921484,79.75,2.7386205593997355,2894.05,0.033776195988320865,0.2532411770866063,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2980.6,2023-12-18 05:30:00,3027.75,2961.1,2023-12,2993.95,2315922,-13.349999999999907,-0.4458992301140604,2991.8,-0.0037435657463735115,0.24854958634412005,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2941.25,2023-12-19 05:30:00,2994.35,2915.0,2023-12,2988.8,1741493,-47.55000000000018,-1.5909395074946528,2980.6,-0.013202039857746732,0.23206618494083187,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2783.85,2023-12-20 05:30:00,2968.0,2766.2,2023-12,2946.0,3417739,-162.1500000000001,-5.504073319755604,2941.25,-0.053514662133446696,0.16613257932767866,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2799.75,2023-12-21 05:30:00,2821.95,2725.0,2023-12,2750.0,2678577,49.75,1.809090909090909,2783.85,0.005711514629020993,0.17279296261388666,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2808.35,2023-12-22 05:30:00,2847.6,2791.4,2023-12,2815.95,1513956,-7.599999999999909,-0.2698911557378472,2799.75,0.0030717028306098434,0.17639543407686697,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2865.45,2023-12-26 05:30:00,2893.75,2800.1,2023-12,2817.0,2048484,48.44999999999982,1.7199148029818891,2808.35,0.0203322235476347,0.20031416902293442,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2843.35,2023-12-27 05:30:00,2894.8,2833.6,2023-12,2880.7,1698325,-37.34999999999991,-1.2965598639219602,2865.45,-0.007712575686192364,0.191056655147136,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2809.9,2023-12-28 05:30:00,2867.35,2800.1,2023-12,2855.0,4102912,-45.09999999999991,-1.5796847635726765,2843.35,-0.011764292120210252,0.17704471672426458,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
ADANIENT,2848.95,2023-12-29 05:30:00,2863.3,2802.85,2023-12,2823.9,1507086,25.049999999999727,0.8870710719218005,2809.9,0.0138972917185664,0.19340245051837912,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN
